id	nm	lat	lon	countryCode
1859093	Koga	36.18333	139.7167	JP
1855852	Nakanojo	36.58333	138.85	JP
1861450	Ise	34.48333	136.7	JP
1863713	Futtsu	35.30528	139.8186	JP
1861290	Ito	34.96667	139.0833	JP
2111559	Obanazawa	38.60333	140.4019	JP
2111325	Otawara	36.86667	140.0333	JP
1848705	Yamaga	33.01667	130.6833	JP
1854803	Obu	35	136.9667	JP
1926006	Iyo	33.75139	132.7014	JP
2113115	Ami	36.03333	140.2	JP
1853677	Ota	36.3	139.3667	JP
1926055	Ozu	33.5	132.55	JP
1863541	Gose	34.45	135.7333	JP
1850498	Tatsuno	35.98426	137.9972	JP
1859941	Kashima	33.10611	130.0906	JP
1851462	Sukumo	32.93333	132.7333	JP
1861108	Izumi	32.08333	130.3667	JP
2127545	Utashinai	43.51667	142.05	JP
1895695	Kushima	31.45833	131.2333	JP
1865449	Aki	33.5	133.9	JP
1857046	Mino	34.82691	135.4706	JP
2112913	Funaishikawa	36.46667	140.5667	JP
1850878	Takedamachi	32.96667	131.4	JP
1849069	Uto	32.68333	130.6667	JP
2129868	Iwanai	42.97444	140.5089	JP
1853433	Ozu	32.86667	130.8667	JP
1861584	Ino	33.55	133.4333	JP
1849729	Tsuiki	33.67239	131.0374	JP
1848194	Yoshii	36.25	138.9833	JP
1848210	Yoshida	37.68333	138.8833	JP
1848382	Youkaichi	35.11626	136.1977	JP
1848447	Yatsuo	36.56667	137.1333	JP
1848498	Yashiro	34.91667	134.9667	JP
1848499	Yashio-shi	35.82255	139.8391	JP
1848633	Yamasaki	35	134.55	JP
1848776	Yaita	36.8	139.9333	JP
1848933	Waki	34.06667	134.15	JP
1849154	Ushibuka	32.19056	130.0228	JP
1849367	Ujiie	36.68333	139.9667	JP
1849407	Uenohara	35.61667	139.1167	JP
1849414	Ueno	34.75	136.1333	JP
1849424	Ueki	32.9	130.6833	JP
1849561	Tsurusaki	33.24	131.6844	JP
1849647	Tsuma	32.1	131.4	JP
1849814	Toyota	35.08333	137.15	JP
1849817	Toyoshina	36.29991	137.9011	JP
1849850	Toyohama	34.7	136.9333	JP
1850269	Togitsu	32.83333	129.85	JP
1850307	Tochio	37.46667	139	JP
1850405	Tenno	39.9	139.9667	JP
1850627	Tanushimaru	33.35	130.6833	JP
1850630	Tanuma	36.36667	139.5833	JP
